,date,type
0,2011-01-01,holiday
1,2011-01-02,holiday
2,2011-01-03,holiday
3,2011-01-04,holiday
4,2011-01-05,holiday
5,2011-01-06,holiday
6,2011-01-07,holiday
7,2011-01-08,holiday
8,2011-01-09,holiday
9,2011-01-10,holiday
10,2011-01-15,holiday
11,2011-01-16,holiday
12,2011-01-22,holiday
13,2011-01-23,holiday
14,2011-01-29,holiday
15,2011-01-30,holiday
16,2011-02-05,holiday
17,2011-02-06,holiday
18,2011-02-12,holiday
19,2011-02-13,holiday
20,2011-02-19,holiday
21,2011-02-20,holiday
22,2011-02-23,holiday
23,2011-02-26,holiday
24,2011-02-27,holiday
25,2011-03-06,holiday
26,2011-03-07,holiday
27,2011-03-08,holiday
28,2011-03-09,holiday
29,2011-03-12,holiday
30,2011-03-13,holiday
31,2011-03-19,holiday
32,2011-03-20,holiday
33,2011-03-26,holiday
34,2011-03-27,holiday
35,2011-04-02,holiday
36,2011-04-03,holiday
37,2011-04-09,holiday
38,2011-04-10,holiday
39,2011-04-16,holiday
40,2011-04-17,holiday
41,2011-04-23,holiday
42,2011-04-24,holiday
43,2011-04-30,holiday
44,2011-05-01,holiday
45,2011-05-02,holiday
46,2011-05-07,holiday
47,2011-05-08,holiday
48,2011-05-09,holiday
49,2011-05-14,holiday
50,2011-05-15,holiday
51,2011-05-21,holiday
52,2011-05-22,holiday
53,2011-05-28,holiday
54,2011-05-29,holiday
55,2011-06-04,holiday
56,2011-06-05,holiday
57,2011-06-11,holiday
58,2011-06-12,holiday
59,2011-06-13,holiday
60,2011-06-18,holiday
61,2011-06-19,holiday
62,2011-06-25,holiday
63,2011-06-26,holiday
64,2011-07-02,holiday
65,2011-07-03,holiday
66,2011-07-09,holiday
67,2011-07-10,holiday
68,2011-07-16,holiday
69,2011-07-17,holiday
70,2011-07-23,holiday
71,2011-07-24,holiday
72,2011-07-30,holiday
73,2011-07-31,holiday
74,2011-08-06,holiday
75,2011-08-07,holiday
76,2011-08-13,holiday
77,2011-08-14,holiday
78,2011-08-20,holiday
79,2011-08-21,holiday
80,2011-08-27,holiday
81,2011-08-28,holiday
82,2011-09-03,holiday
83,2011-09-04,holiday
84,2011-09-10,holiday
85,2011-09-11,holiday
86,2011-09-17,holiday
87,2011-09-18,holiday
88,2011-09-24,holiday
89,2011-09-25,holiday
90,2011-10-01,holiday
91,2011-10-02,holiday
92,2011-10-08,holiday
93,2011-10-09,holiday
94,2011-10-15,holiday
95,2011-10-16,holiday
96,2011-10-22,holiday
97,2011-10-23,holiday
98,2011-10-29,holiday
99,2011-10-30,holiday
100,2011-11-04,holiday
101,2011-11-05,holiday
102,2011-11-06,holiday
103,2011-11-12,holiday
104,2011-11-13,holiday
105,2011-11-19,holiday
106,2011-11-20,holiday
107,2011-11-26,holiday
108,2011-11-27,holiday
109,2011-12-03,holiday
110,2011-12-04,holiday
111,2011-12-10,holiday
112,2011-12-11,holiday
113,2011-12-17,holiday
114,2011-12-18,holiday
115,2011-12-24,holiday
116,2011-12-25,holiday
117,2011-12-31,holiday
118,2012-01-01,holiday
119,2012-01-02,holiday
120,2012-01-03,holiday
121,2012-01-04,holiday
122,2012-01-05,holiday
123,2012-01-06,holiday
124,2012-01-07,holiday
125,2012-01-08,holiday
126,2012-01-09,holiday
127,2012-01-14,holiday
128,2012-01-15,holiday
129,2012-01-21,holiday
130,2012-01-22,holiday
131,2012-01-28,holiday
132,2012-01-29,holiday
133,2012-02-04,holiday
134,2012-02-05,holiday
135,2012-02-11,holiday
136,2012-02-12,holiday
137,2012-02-18,holiday
138,2012-02-19,holiday
139,2012-02-23,holiday
140,2012-02-25,holiday
141,2012-02-26,holiday
142,2012-03-03,holiday
143,2012-03-04,holiday
144,2012-03-08,holiday
145,2012-03-09,holiday
146,2012-03-10,holiday
147,2012-03-17,holiday
148,2012-03-18,holiday
149,2012-03-24,holiday
150,2012-03-25,holiday
151,2012-03-31,holiday
