invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5,total,date_,time_,payment,cogs,gross_margin_percentage,gross_income,rating
291-41-7776,A,Yangon,Member,Male,Food and beverages,65.77,1,3.29,69.06,09/11/2019,14:56,Credit card,65.77,4.761905,3.29,8
177-22-8441,C,Mandalay,Member,Male,Sports and travel,36.55,8,14.62,307.02,05/16/2019,00:28,Credit card,292.4,4.761905,14.62,10
128-92-3276,A,Yangon,Normal,Female,Electronic accessories,26.77,4,5.35,112.42999999999999,03/15/2019,04:12,Credit card,107.08,4.761905,5.35,4
128-92-3276,A,Yangon,Normal,Female,Electronic accessories,26.77,4,5.35,112.42999999999999,03/15/2019,04:12,Credit card,107.08,4.761905,5.35,4
177-22-8441,C,Mandalay,Member,Male,Sports and travel,36.55,8,14.62,307.02,05/16/2019,00:28,Credit card,292.4,4.761905,14.62,10
338-85-3609,B,Mandalay,Member,Male,Sports and travel,99.17,1,4.96,104.13,12/10/2019,16:23,Ewallet,99.17,4.761905,4.96,4
753-14-6187,A,Yangon,Member,Male,Food and beverages,19.48,5,4.87,102.27000000000001,08/28/2019,22:52,Ewallet,97.4,4.761905,4.87,4
291-41-7776,A,Yangon,Member,Male,Food and beverages,65.77,1,3.29,69.06,09/11/2019,14:56,Credit card,65.77,4.761905,3.29,8
798-03-4325,B,Mandalay,Member,Male,Sports and travel,26.07,4,5.21,109.49,08/14/2019,17:15,Credit card,104.28,4.761905,5.21,5
913-74-8553,A,Naypyitaw,Member,Female,Electronic accessories,53.93,9,24.27,509.64,08/29/2019,16:52,Ewallet,485.37,4.761905,24.27,6
265-59-3919,C,Mandalay,Normal,Female,Sports and travel,44.03,8,17.61,369.85,05/09/2019,19:04,Credit card,352.24,4.761905,17.61,9
370-69-9524,C,Mandalay,Member,Male,Food and beverages,61.15,1,3.06,64.21,09/06/2019,03:35,Ewallet,61.15,4.761905,3.06,10
747-15-1921,A,Naypyitaw,Normal,Male,Food and beverages,16.52,5,4.13,86.72999999999999,12/25/2019,21:06,Credit card,82.6,4.761905,4.13,8
807-69-0134,C,Yangon,Normal,Male,Health and beauty,61.06,9,27.48,577.02,04/19/2019,17:48,Ewallet,549.54,4.761905,27.48,5
743-93-1104,C,Yangon,Normal,Female,Food and beverages,10.24,8,4.1,86.02,10/21/2019,13:31,Cash,81.92,4.761905,4.1,8
807-69-0134,C,Yangon,Normal,Male,Health and beauty,61.06,9,27.48,577.02,04/19/2019,17:48,Ewallet,549.54,4.761905,27.48,5
945-80-7302,A,Naypyitaw,Member,Male,Food and beverages,79.13,10,39.56,830.8599999999999,04/01/2019,04:15,Ewallet,791.3,4.761905,39.56,6
265-59-3919,C,Mandalay,Normal,Female,Sports and travel,44.03,8,17.61,369.85,05/09/2019,19:04,Credit card,352.24,4.761905,17.61,9
479-94-4993,A,Naypyitaw,Member,Female,Health and beauty,33.43,6,10.03,210.60999999999999,05/19/2019,05:45,Ewallet,200.57999999999998,4.761905,10.03,9
479-94-4993,A,Naypyitaw,Member,Female,Health and beauty,33.43,6,10.03,210.60999999999999,05/19/2019,05:45,Ewallet,200.57999999999998,4.761905,10.03,9
917-40-0297,C,Naypyitaw,Member,Male,Health and beauty,72.25,7,25.29,531.04,11/28/2019,04:18,Credit card,505.75,4.761905,25.29,5
291-41-7776,A,Yangon,Member,Male,Food and beverages,65.77,1,3.29,69.06,09/11/2019,14:56,Credit card,65.77,4.761905,3.29,8
919-80-5781,C,Naypyitaw,Member,Female,Home and lifestyle,64.56,3,9.68,203.36,12/16/2019,00:58,Credit card,193.68,4.761905,9.68,4
917-40-0297,C,Naypyitaw,Member,Male,Health and beauty,72.25,7,25.29,531.04,11/28/2019,04:18,Credit card,505.75,4.761905,25.29,5
917-40-0297,C,Naypyitaw,Member,Male,Health and beauty,72.25,7,25.29,531.04,11/28/2019,04:18,Credit card,505.75,4.761905,25.29,5
945-80-7302,A,Naypyitaw,Member,Male,Food and beverages,79.13,10,39.56,830.8599999999999,04/01/2019,04:15,Ewallet,791.3,4.761905,39.56,6
798-03-4325,B,Mandalay,Member,Male,Sports and travel,26.07,4,5.21,109.49,08/14/2019,17:15,Credit card,104.28,4.761905,5.21,5
266-47-3782,C,Mandalay,Normal,Male,Fashion accessories,57.74,7,20.21,424.39,01/26/2019,22:27,Credit card,404.18,4.761905,20.21,5
177-22-8441,C,Mandalay,Member,Male,Sports and travel,36.55,8,14.62,307.02,05/16/2019,00:28,Credit card,292.4,4.761905,14.62,10
798-03-4325,B,Mandalay,Member,Male,Sports and travel,26.07,4,5.21,109.49,08/14/2019,17:15,Credit card,104.28,4.761905,5.21,5
338-85-3609,B,Mandalay,Member,Male,Sports and travel,99.17,1,4.96,104.13,12/10/2019,16:23,Ewallet,99.17,4.761905,4.96,4
526-01-8159,A,Mandalay,Normal,Male,Fashion accessories,65.53,2,6.55,137.61,03/29/2019,09:10,Credit card,131.06,4.761905,6.55,10
750-57-0952,B,Yangon,Normal,Male,Health and beauty,93.26,10,46.63,979.23,10/03/2019,16:25,Cash,932.6,4.761905,46.63,7
750-57-0952,B,Yangon,Normal,Male,Health and beauty,93.26,10,46.63,979.23,10/03/2019,16:25,Cash,932.6,4.761905,46.63,7
265-59-3919,C,Mandalay,Normal,Female,Sports and travel,44.03,8,17.61,369.85,05/09/2019,19:04,Credit card,352.24,4.761905,17.61,9
318-46-2877,C,Naypyitaw,Member,Male,Electronic accessories,98.39,4,19.68,413.24,03/08/2019,05:19,Ewallet,393.56,4.761905,19.68,10
388-23-3846,C,Naypyitaw,Member,Female,Food and beverages,45.51,1,2.28,47.79,11/07/2019,12:45,Ewallet,45.51,4.761905,2.28,4
750-57-0952,B,Yangon,Normal,Male,Health and beauty,93.26,10,46.63,979.23,10/03/2019,16:25,Cash,932.6,4.761905,46.63,7
338-85-3609,B,Mandalay,Member,Male,Sports and travel,99.17,1,4.96,104.13,12/10/2019,16:23,Ewallet,99.17,4.761905,4.96,4
470-96-5718,B,Yangon,Normal,Male,Electronic accessories,40.08,2,4.01,84.17,08/11/2019,14:38,Credit card,80.16,4.761905,4.01,4
